<<<<<<< HEAD
tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt,additional_info,building_name,building_no,expiry_date,grade,postal_code,street_name,tel_no,uen_no,unit_no,workhead
CPF000ETT16000048,Central Provident Fund Board,Maintenance And Enhancement Of Healthcare And Medical Insurance Systems,2017-05-17,Awarded to Suppliers,NCS PTE. LTD.,4932600.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CPF000ETT17000026,Central Provident Fund Board,Provision of Network Equipment Maintenance and Support,2017-05-19,Awarded to Suppliers,NCS PTE. LTD.,61695.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CRA000ETT17000002,Casino Regulatory Authority,ITT for the technology refresh of the Electronic Registry and Document System with support and maintenance for five years (including options) for the Casino Regulatory Authority of Singapore,2017-05-03,Awarded to Suppliers,NCS PTE. LTD.,1216191.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CSC000ETT14000018,Civil Service College,INVITATION TO TENDER FOR CSC WEBSITE MAINTENANCE FOR CIVIL SERVICE COLLEGE,2015-02-10,Awarded to Suppliers,NCS PTE. LTD.,320130.3,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CSC000ETT14000023,Civil Service College,INVITATION TO TENDER FOR THE DEVELOPMENT OF A TRAINING ANALYTICS FOR THE PUBLIC SERVICE (TAPS) SYSTEM FOR CIVIL SERVICE COLLEGE,2015-09-16,Awarded to Suppliers,NCS PTE. LTD.,889503.95,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,NCS PTE. LTD.,10.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT14000307,Ministry of Defence,"Invitation to Tender for the supply of visual equipment, IT equipment, digital forensic equipment, software and services.",2015-04-30,Awarded to Suppliers,NCS PTE. LTD.,113720.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT15000055,Ministry of Defence,"SUPPLY OF IT EQUIPMENT, SOFTWARE AND SERVICES",2015-05-29,Awarded to Suppliers,NCS PTE. LTD.,25495.32,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT15000151,Ministry of Defence,Framework Agreement for IT Manpower Services,2016-01-11,Awarded to Suppliers,NCS PTE. LTD.,29649.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT15000193,Ministry of Defence,"DESIGN, BUILD AND OPERATION OF THE NATIONAL SERVICE (NS) GALLERY",2016-04-25,Awarded to Suppliers,NCS PTE. LTD.,5168266.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT15000276,Ministry of Defence,Provision of Analytics Consultancy Services,2017-03-01,Awarded to Suppliers,NCS PTE. LTD.,9386.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT16000047,Ministry of Defence,Provision of IT Leadership Programme,2016-04-07,Awarded to Suppliers,NCS PTE. LTD.,46780.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT16000259,Ministry of Defence,Provision of Preventive Maintenance Services for Public Address Systems,2017-05-22,Awarded to Suppliers,NCS PTE. LTD.,55418.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF000ETT17000143,Ministry of Defence,Supply and Maintenance of Microsoft Word Document Generation Tool,2017-10-17,Awarded to Suppliers,NCS PTE. LTD.,30438.55,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF005ETT15000013,Ministry of Defence 5,Supply of Arista Network Switches and Accessories - Ref 2015100285,2015-08-21,Awarded to Suppliers,NCS PTE. LTD.,250968.01,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF005ETT15000024,Ministry of Defence 5,Supply of Arista Network Switches and Accessories - Ref 2015100682,2015-11-16,Awarded to Suppliers,NCS PTE. LTD.,559332.74,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF005ETT15000025,Ministry of Defence 5,Cisco Switch,2015-10-28,Awarded to Suppliers,NCS PTE. LTD.,46720.2,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DEF005ETT16000004,Ministry of Defence 5,Supply of Servers (Ref No.: 2015101866),2016-05-20,Awarded to Suppliers,NCS PTE. LTD.,11200.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DST000ETT14000039,Defence Science and Technology Agency,SUPPLY OF IT EQUIPMENT,2015-04-08,Awarded to Suppliers,NCS PTE. LTD.,144675.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
DST000ETT16000018,Defence Science and Technology Agency,IMPLEMENTATION AND MAINTENANCE OF IT GOVERNANCE AND COMPLIANCE SYSTEM,2017-03-20,Awarded to Suppliers,NCS PTE. LTD.,2090952.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
EDB000ETT14000029,Economic Development Board,"Tender T23/2014 for Provision of the Application Maintenance and Support of SGIP System for Economic Development Board for a Period of One Year with an Option to Extend up to an additonal Two Years, based on yearly renewal. Requester: Nai Ying Jiin.",2015-01-05,Awarded to Suppliers,NCS PTE. LTD.,638700.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
EDB000ETT15000035,Economic Development Board,"Tender T27/2015 for Application Maintenance, Support and Enhancement of Electronic Customer Relationship Management (eCRM) System for Two (2) Years with the Option to Extend for another One (1) Year for Economic Development Board. Requester: Rebecca Sim.",2016-02-22,Awarded to Suppliers,NCS PTE. LTD.,612111.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
EDB000ETT16000005,Economic Development Board,"Tender T01/2016 for Supply (On A Subscription Basis), Delivery, Installation, Testing & Commissioning of a Fully Operational Application Performance Monitoring (APM) System For Economic Development Board (EDB) with an option for extension of Subscription. OIC : Mr Budy Harnata.",2016-08-23,Awarded to Suppliers,NCS PTE. LTD.,1018958.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
EMA000ETT17000002,Energy Market Authority of Singapore,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF THE EMA INFORMATION MANAGEMENT HUB",2017-07-09,Awarded to Suppliers,NCS PTE. LTD.,5939090.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
FINAGDETT15000004,Ministry of Finance-Accountant-General's Department,"Application Software Development, Maintenance And Support Services For Accountant-General's Department.",2015-09-21,Awarded to Suppliers,NCS PTE. LTD.,11490000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
FINVITETT17000007,Ministry of Finance - Vital,INVITATION TO TENDER FOR THE SUPPLY OF ROBOTIC PROCESS AUTOMATION SOFTWARE WITH AN OPTION FOR SOFTWARE MAINTENANCE,2017-10-06,Awarded to Suppliers,NCS PTE. LTD.,157300.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
FOR000ETT15000025,Ministry of Foreign Affairs,Provision for the maintenance of MFA Network Infrastructure Equipment for 1 year with an option to extend for an additional 1 year.,2015-06-22,Awarded to Suppliers,NCS PTE. LTD.,3383758.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
FOR000ETT16000054,Ministry of Foreign Affairs,Provision of Maintenance Services for Checkpoint Firewall Equipment for MFA,2016-09-14,Awarded to Suppliers,NCS PTE. LTD.,875579.95,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
FOR000ETT16000075,Ministry of Foreign Affairs,Provision of C-NET application maintenance and support services,2017-04-05,Awarded to Suppliers,NCS PTE. LTD.,15874167.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
GVT000ETT17000005,Government Technology Agency (GovTech),"FOR THE PROVISION OF AGILE APPLICATION DEVELOPMENT AND USER EXPERIENCE DESIGN SERVICES FOR GOVERNMENT MINISTRIES/DEPARTMENTS, STATUTORY BOARDS, ORGANS OF STATE AND PARTICIPATING ENTITIES",2017-06-28,Awarded to Suppliers,NCS PTE. LTD.,1.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
GVT000ETT17000018,Government Technology Agency (GovTech),"FOR THE SUPPLY OF IT SECURITY AND AUDIT SERVICES FOR GOVERNMENT MINISTRIES/DEPARTMENTS, STATUTORY BOARDS, ORGANS OF STATE AND PARTICIPATING ENTITIES",2017-11-29,Awarded to Suppliers,NCS PTE. LTD.,1.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
GVT000ETT17000030,Government Technology Agency (GovTech),"FOR THE PROVISION OF ICT HARDWARE MAINTENANCE SERVICES TO GOVERNMENT, MINISTRIES AND DEPARTMENTS, STATUTORY BOARDS AND ORGAN OF STATE",2017-12-01,Awarded to Suppliers,NCS PTE. LTD.,1.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HDB000ETT15000243,Housing and Development Board,"Stage 2 Tender - The Provision Of (A) Consultancy Service To Develop A Smart Urban Habitat Masterplan For HDB Towns; (B) Design, Build And Operate The Smart Hub; (C) Consultancy Service For Smart Initiatives Deployment In HDB Towns",2016-03-29,Awarded to Suppliers,NCS PTE. LTD.,9043000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HDB000ETT16000011,Housing and Development Board,Application Software Maintenance And Support For Human Capital Management,2016-03-29,Awarded to Suppliers,NCS PTE. LTD.,7203871.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT14000163,Ministry of Home Affairs-Ministry Headquarter,"For the supply, delivery, installation, testing, commissioning of a fully operational inmate registry system, inmate operations system and person search system with an option for maintenance",2015-02-04,Awarded to Suppliers,NCS PTE. LTD.,12412665.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT14000325,Ministry of Home Affairs-Ministry Headquarter,Provision of a fully operational Discipline System with an option for maintenance,2015-04-01,Awarded to Suppliers,NCS PTE. LTD.,1642743.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT14000393,Ministry of Home Affairs-Ministry Headquarter,For the Supply of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) Select Plus Agreement for Singapore Civil Defence Force,2015-02-11,Awarded to Suppliers,NCS PTE. LTD.,222732.01,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT14000501,Ministry of Home Affairs-Ministry Headquarter,Provision of Info-Comm Technology Security Services,2015-06-22,Awarded to Suppliers,NCS PTE. LTD.,8926884.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000072,Ministry of Home Affairs-Ministry Headquarter,"FRAMEWORK AGREEMENT FOR PROVISION OF INFOCOMM TECHNOLOGY, ENGINEERING AND LOGISTICS PROJECT MANAGEMENT SERVICES",2015-12-28,Awarded to Suppliers,NCS PTE. LTD.,8000000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000117,Ministry of Home Affairs-Ministry Headquarter,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATONAL BUSINESS INTELLIGENCE (BI) SYSTEM WITH AN OPTION FOR MAINTENANCE.",2015-10-30,Awarded to Suppliers,NCS PTE. LTD.,4563475.64,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000152,Ministry of Home Affairs-Ministry Headquarter,Framework Agreement and Period Contract for CCTV,2016-05-18,Awarded to Suppliers,NCS PTE. LTD.,78163300.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000187,Ministry of Home Affairs-Ministry Headquarter,Intrusion Prevention System,2015-11-17,Awarded to Suppliers,NCS PTE. LTD.,902658.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000210,Ministry of Home Affairs-Ministry Headquarter,Application Maintenance and Support Services for Business Intelligence (BI) System for the Central Narcotics Bureau,2015-11-25,Awarded to Suppliers,NCS PTE. LTD.,399408.56,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000321,Ministry of Home Affairs-Ministry Headquarter,Outdoor Video System,2016-07-27,Awarded to Suppliers,NCS PTE. LTD.,40986352.48,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000337,Ministry of Home Affairs-Ministry Headquarter,Supply of Android Devices,2016-03-08,Awarded to Suppliers,NCS PTE. LTD.,767880.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000363,Ministry of Home Affairs-Ministry Headquarter,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING AND, COMMISSIONING OF A FULLY OPERATIONAL SECURE FILE TRANSFER SYSTEM,CHANNELS, WITH AN OPTION.",2016-06-28,Awarded to Suppliers,NCS PTE. LTD.,5216135.08,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT15000365,Ministry of Home Affairs-Ministry Headquarter,Supply of Software Licences,2016-02-19,Awarded to Suppliers,NCS PTE. LTD.,763631.66,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HOMHQ0ETT17000068,Ministry of Home Affairs-Ministry Headquarter,"Supply, delivery, installation, testing, commissioning of intrusion prevention system and virtual private network appliance; with 4 years of comprehensive maintenance",2017-12-14,Awarded to Suppliers,NCS PTE. LTD.,3229822.05,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
HSA000ETT14000089,Health Sciences Authority,Invitation to Tender for Provision of Maintenance Services for the FIONA System for HSA,2015-06-15,Awarded to Suppliers,NCS PTE. LTD.,1614000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT14000032,Government Technology Agency (GovTech),Supply and Maintenance of Geographic Information System,2015-01-05,Awarded to Suppliers,NCS PTE. LTD.,555000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT14000078,Government Technology Agency (GovTech),"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL CUSTOMS INTELLIGENCE AND INVESTIGATION SYSTEM (C2IS) WITH AN OPTION FOR MAINTEN",2015-05-20,Awarded to Suppliers,NCS PTE. LTD.,3437309.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT14000090,Government Technology Agency (GovTech),"FOR THE PROVISION OF NETWORK ACCESS CONTROL SOLUTION TO GOVERNMENT MINISTRIES/DEPARTMENTS, STATUTORY BOARDS, AND ORGANS OF STATE",2015-03-19,Awarded to Suppliers,NCS PTE. LTD.,1.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000010,Government Technology Agency (GovTech),"For The Supply, Delivery, Installation, Testing, Commissioning of a PSC Talent Management System with an option for maintenance",2015-07-16,Awarded to Suppliers,NCS PTE. LTD.,3695947.6,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000047,Government Technology Agency (GovTech),SUPPLY AND DELIVERY OF SMART BOARD PLATFORM,2015-08-14,Awarded to Suppliers,NCS PTE. LTD.,353886.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000055,Government Technology Agency (GovTech),"FOR APPLICATION SOFTWARE MAINTENANCE, OPERATION SUPPORT AND ENHANCEMENT SERVICES FOR SCHOOL ANALYTICS (SCAN) FOR MINISTRY OF EDUCATION (MOE)",2015-10-27,Awarded to Suppliers,NCS PTE. LTD.,4529245.19,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000060,Government Technology Agency (GovTech),FOR THE PROVISION OF HARDWARE AND SOFTWARE MAINTENANCE SERVICE OF GDC1 NETWORK,2015-08-28,Awarded to Suppliers,NCS PTE. LTD.,443336.6,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000080,Government Technology Agency (GovTech),"FOR THE PROVISION OF A BULK TENDER ON DATA ANALYTICS (DA) SERVICES FOR GOVERNMENT MINISTRIES/DEPARTMENTS, ORGANS OF STATE, STATUTORY BOARDSAND PARTICIPATING ENTITIES",2016-05-31,Awarded to Suppliers,NCS PTE. LTD.,1407064.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
IDA000ETT15000083,Government Technology Agency (GovTech),FOR THE PROVISION OF NETWORK INFRASTRUCTURE MANAGEMENT AND MONITORING SERVICES FOR THE GOVERNMENT DATA CENTRE,2015-11-18,Awarded to Suppliers,NCS PTE. LTD.,2739108.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
